ProductID,ProductName,ProductCategoryID,Price
1,Product_1,27,129.4
2,Product_2,48,585.89
3,Product_3,13,545.88
4,Product_4,40,187.4
5,Product_5,71,633.42
6,Product_6,22,984.23
7,Product_7,17,14.99
8,Product_8,49,76.47
9,Product_9,64,180.48
10,Product_10,63,939.99
11,Product_11,17,980.99
12,Product_12,27,755.51
13,Product_13,8,604.18
14,Product_14,76,22.76
15,Product_15,64,478.82
16,Product_16,7,748.01
17,Product_17,72,829.3
18,Product_18,54,541.88
19,Product_19,29,316.1
20,Product_20,18,90.96
21,Product_21,82,912.34
22,Product_22,69,601.42
23,Product_23,92,950.49
24,Product_24,27,657.49
25,Product_25,8,754.93
26,Product_26,97,470.75
27,Product_27,20,516.25
28,Product_28,83,486.83
29,Product_29,31,543.14
30,Product_30,45,321.97
31,Product_31,49,828.68
32,Product_32,65,409.97
33,Product_33,33,639.45
34,Product_34,4,582.11
35,Product_35,61,761.75
36,Product_36,58,653.45
37,Product_37,61,712.0
38,Product_38,40,848.47
39,Product_39,51,664.83
40,Product_40,28,906.94
41,Product_41,74,833.53
42,Product_42,16,444.76
43,Product_43,39,998.67
44,Product_44,8,145.73
45,Product_45,81,226.66
46,Product_46,91,777.68
47,Product_47,42,557.79
48,Product_48,92,152.04
49,Product_49,25,458.3
50,Product_50,26,344.84
51,Product_51,75,848.2
52,Product_52,42,711.81
53,Product_53,53,86.53
54,Product_54,57,201.22
55,Product_55,61,101.02
56,Product_56,77,61.71
57,Product_57,24,611.02
58,Product_58,42,544.1
59,Product_59,4,110.26
60,Product_60,53,989.32
61,Product_61,31,640.41
62,Product_62,31,625.76
63,Product_63,12,227.17
64,Product_64,28,386.38
65,Product_65,41,758.23
66,Product_66,6,109.15
67,Product_67,91,32.99
68,Product_68,47,78.36
69,Product_69,74,396.36
70,Product_70,81,417.88
71,Product_71,19,834.65
72,Product_72,68,607.73
73,Product_73,4,757.6
74,Product_74,24,602.94
75,Product_75,93,725.02
76,Product_76,83,157.64
77,Product_77,64,28.82
78,Product_78,41,409.8
79,Product_79,41,905.35
80,Product_80,51,667.64
81,Product_81,71,916.12
82,Product_82,59,873.76
83,Product_83,81,461.84
84,Product_84,9,221.64
85,Product_85,30,423.32
86,Product_86,49,799.86
87,Product_87,81,357.73
88,Product_88,94,158.59
89,Product_89,98,999.12
90,Product_90,70,501.32
91,Product_91,30,805.93
92,Product_92,95,825.4
93,Product_93,28,37.06
94,Product_94,87,342.21
